OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
2291,Great Salt Plains State Park,RR020,RV 50S,Back-In,50 Amp,River Road,Yes,20,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2292,Great Salt Plains State Park,RR019,RV 50S,Back-In,50 Amp,River Road,Yes,19,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2293,Great Salt Plains State Park,RR018,RV 50S,Back-In,50 Amp,River Road,Yes,18,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Accessible,Yes,5/16/2012,"Pedestal:50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2294,Great Salt Plains State Park,RR017,RV 50S,Back-In,50 Amp,River Road,Yes,17,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Accessible,Yes,5/16/2012,"Pedestal:50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2295,Great Salt Plains State Park,RR016,RV 50S,Back-In,50 Amp,River Road,Yes,16,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2296,Great Salt Plains State Park,RR015,RV 50S,Back-In,50 Amp,River Road,Yes,15,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2297,Great Salt Plains State Park,RR014,RV 50S,Back-In,50 Amp,River Road,Yes,14,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2298,Great Salt Plains State Park,RR013,RV 50S,Back-In,50 Amp,River Road,Yes,13,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Accessible,Yes,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2299,Great Salt Plains State Park,RR012,RV 50S,Back-In,50 Amp,River Road,Yes,12,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Accessible,Yes,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2300,Great Salt Plains State Park,RR011,RV 50S,Back-In,50 Amp,River Road,Yes,11,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Useable,Pedestal,Semi-Modern,Useable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Useable,Yes,5/16/2012,"Physical disabilities; Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
