OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
1,Grand Lake State Park (Bernice Area),RV030,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,30,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
2,Grand Lake State Park (Bernice Area),RV031,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,31,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Usable,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
3,Grand Lake State Park (Bernice Area),RV032,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,32,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Interior,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
4,Grand Lake State Park (Bernice Area),RV033,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,33,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
5,Grand Lake State Park (Bernice Area),RV020,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,20,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
6,Grand Lake State Park (Bernice Area),RV021,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,21,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
7,Grand Lake State Park (Bernice Area),RV022,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,22,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
8,Grand Lake State Park (Bernice Area),RV015,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,15,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
9,Grand Lake State Park (Bernice Area),RV016,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,16,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
10,Grand Lake State Park (Bernice Area),RV017,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,17,Yes,No,Yes,Keep,Useable,Wood,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
11,Grand Lake State Park (Bernice Area),RV018,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,18,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
12,Grand Lake State Park (Bernice Area),RV001,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,1,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
13,Grand Lake State Park (Bernice Area),RV002,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,2,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
14,Grand Lake State Park (Bernice Area),RV003,RV 50S,Back-In,50 Amp,Bernice State Park,Yes, ,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
15,Grand Lake State Park (Bernice Area),RV004,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
16,Grand Lake State Park (Bernice Area),RV005,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
17,Grand Lake State Park (Bernice Area),RV006,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,6,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
18,Grand Lake State Park (Bernice Area),RV007,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,7,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
19,Grand Lake State Park (Bernice Area),RV008,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,8,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
20,Grand Lake State Park (Bernice Area),RV009,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
21,Grand Lake State Park (Bernice Area),RV010,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,10,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
22,Grand Lake State Park (Bernice Area),RV011,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,11,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,None,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
23,Grand Lake State Park (Bernice Area),RV012,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,12,Yes,No,No,,,,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,None,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
24,Grand Lake State Park (Bernice Area),RV013,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,13,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
25,Grand Lake State Park (Bernice Area),RV014,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,14,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
26,Grand Lake State Park (Bernice Area),RV029,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,29,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
27,Grand Lake State Park (Bernice Area),RV028,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,28,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,None,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
28,Grand Lake State Park (Bernice Area),RV027,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,27,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,None,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
29,Grand Lake State Park (Bernice Area),RV026,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,26,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
30,Grand Lake State Park (Bernice Area),RV025,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,25,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
31,Grand Lake State Park (Bernice Area),RV024,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,24,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
32,Grand Lake State Park (Bernice Area),RV023,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,23,Yes,No,No,,,,,,,,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
33,Grand Lake State Park (Bernice Area),RV019,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,19,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Lakeside,Concrete,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
34,Grand Lake State Park (Cherokee Area),GV004,RV 30S,Back-In,30 Amp,Grandview,Yes,RV 4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,No,No,,,No,,,Partial,Yes,Non-Accessible,No,7/11/2011,,RV
35,Grand Lake State Park (Cherokee Area),GV003,RV 30F,Back-In,30 Amp,Camp Host,Yes,RV 3,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,No,Yes,Keep,Potable,Yes,Keep,Hatch,Partial,Yes,Non-Accessible,No,7/11/2011,,RV
36,Grand Lake State Park (Cherokee Area),GV002,RV 30S,Back-In,30 Amp,Grandview,Yes,RV 2,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,7/11/2011,,RV
37,Grand Lake State Park (Cherokee Area),GV001,RV 30S,Back-In,30 Amp,Grandview,Yes,RV 4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,No,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,7/11/2011,,RV
38,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,21,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,6/30/2011,,
39,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,22,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,6/30/2011,,
40,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,23,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,6/30/2011,,
41,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,24,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
42,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,25,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,With shade shelter,
43,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,26,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,With shade shelter,
44,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,28,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
45,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,29,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,6/30/2011,,
46,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,1,Yes,No,Yes,Replace,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Repair,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
47,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,2,Yes,No,Yes,Repair,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
48,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,3,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
49,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,4,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
50,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
51,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,6,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
52,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,7,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
53,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,8,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
54,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
55,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,10,Yes,No,Yes,Repair,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
56,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,11,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,6/30/2011,,
57,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,12,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
58,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,13,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
59,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,17,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
60,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,18,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
61,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,19,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
62,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,20,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
63,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,14,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
64,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,15,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
65,Grand Lake State Park (Disney Area),,Tent,,,Disney State Park,No,16,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,6/30/2011,,
66,Grand Lake State Park (Riverside Area),GC013,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,13,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Non-Accessible,Yes,8/15/2011,50 30 and 20 amp,RV
67,Grand Lake State Park (Riverside Area),GC012,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,12,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Non-Accessible,Yes,8/15/2011,50 30 and 20 amp,RV
68,Grand Lake State Park (Riverside Area),GC014,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,14,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Non-Accessible,Yes,8/15/2011,50 30 and 20 amp,RV
69,Grand Lake State Park (Riverside Area),GC010,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,10,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
70,Grand Lake State Park (Riverside Area),GC008,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,8,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
71,Grand Lake State Park (Riverside Area),,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,No,15,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
72,Grand Lake State Park (Riverside Area),GC007,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,7,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
73,Grand Lake State Park (Riverside Area),GC005,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,5,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
74,Grand Lake State Park (Riverside Area),GC004,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,4,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
75,Grand Lake State Park (Riverside Area),GC003,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,Yes,3,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp: Max Length 45FT,RV
76,Grand Lake State Park (Riverside Area),,RV 50F,Back-In,50 Amp,Cherokee Riverside,No,1,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
77,Grand Lake State Park (Riverside Area),,RV 50F,Pull-Thru,50 Amp,Cherokee Riverside,No,2,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Accessible,Pedestal,Modern,Usable,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,Yes,Usable,Yes,8/15/2011,50 30 and 20 amp,RV
